"","subject","block","...1","group","Congruent","Incongruent","Total","TP","CP","IP","sex","sprache","age","study","study_parents","FAT1","FAT2","EN1","EN2","TE1","TE2","MWP","MSC","sum_inc","sum_con","sum_all","interference"
"37","A10JXOU89D5RXR",15,45,"low",51,61,112,0.186666666666667,0.151785714285714,0.231060606060606,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,-0.168032786885246
"38","A10JXOU89D5RXR",2,32,"low",45,32,77,0.9625,1,0.914285714285714,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,1
"39","A10JXOU89D5RXR",3,33,"low",45,32,77,0.895348837209302,0.9375,0.842105263157895,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,0.333333333333333
"40","A10JXOU89D5RXR",4,34,"low",48,36,84,0.903225806451613,0.923076923076923,0.878048780487805,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,0.25
"41","A10JXOU89D5RXR",5,35,"low",52,40,92,0.92,0.928571428571429,0.909090909090909,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,0
"42","A10JXOU89D5RXR",6,36,"low",55,37,92,0.844036697247706,0.901639344262295,0.770833333333333,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,0.294117647058824
"43","A10JXOU89D5RXR",7,37,"low",62,37,99,0.825,0.925373134328358,0.69811320754717,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,0.523809523809524
"44","A10JXOU89D5RXR",8,38,"low",66,36,102,0.761194029850746,0.88,0.610169491525424,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,0.483870967741935
"45","A10JXOU89D5RXR",9,39,"low",65,34,99,0.66,0.773809523809524,0.515151515151515,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,0.254901960784314
"46","A10PF5EUAE8M8P",1,46,"high",45,34,79,0.9875,1,0.971428571428571,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,1
"47","A10PF5EUAE8M8P",10,55,"high",44,26,70,0.409356725146199,0.458333333333333,0.346666666666667,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,-0.0297029702970297
"48","A10PF5EUAE8M8P",11,56,"high",29,32,61,0.305,0.258928571428571,0.363636363636364,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,-0.194244604316547
"49","A10PF5EUAE8M8P",12,57,"high",35,28,63,0.2625,0.261194029850746,0.264150943396226,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,-0.11864406779661
"50","A10PF5EUAE8M8P",13,58,"high",52,44,96,0.32,0.30952380952381,0.333333333333333,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,-0.137254901960784
"51","A10PF5EUAE8M8P",14,59,"high",75,64,139,0.3475,0.334821428571429,0.363636363636364,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,-0.14176245210728
"52","A10PF5EUAE8M8P",15,60,"high",100,126,226,0.376666666666667,0.297619047619048,0.477272727272727,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,-0.262032085561497
"53","A10PF5EUAE8M8P",2,47,"high",43,33,76,0.95,0.955555555555556,0.942857142857143,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,0
"54","A10PF5EUAE8M8P",3,48,"high",47,35,82,0.953488372093023,0.979166666666667,0.921052631578947,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,0.5
"55","A10PF5EUAE8M8P",4,49,"high",51,40,91,0.978494623655914,0.980769230769231,0.975609756097561,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,1
"56","A10PF5EUAE8M8P",5,50,"high",54,39,93,0.93,0.964285714285714,0.886363636363636,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,0.428571428571429
"57","A10PF5EUAE8M8P",6,51,"high",54,33,87,0.798165137614679,0.885245901639344,0.6875,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,0.363636363636364
"58","A10PF5EUAE8M8P",7,52,"high",57,41,98,0.816666666666667,0.850746268656716,0.773584905660377,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,0.0909090909090909
"59","A10PF5EUAE8M8P",8,53,"high",62,36,98,0.73134328358209,0.826666666666667,0.610169491525424,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,0.314285714285714
"60","A10PF5EUAE8M8P",9,54,"high",65,40,105,0.7,0.773809523809524,0.606060606060606,2,1,39,2,1,1.8,4.4,8.4,7.2,0.8,1.6,3.5,4.46153846153846,651,813,1464,0.155555555555556
"61","A11M4E3N6Q8918",1,61,"low",44,12,56,0.7,0.977777777777778,0.342857142857143,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,0.916666666666667
"62","A11M4E3N6Q8918",10,70,"low",25,17,42,0.245614035087719,0.260416666666667,0.226666666666667,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,-0.10077519379845
"63","A11M4E3N6Q8918",11,71,"low",37,15,52,0.26,0.330357142857143,0.170454545454545,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,-0.0135135135135135
"64","A11M4E3N6Q8918",12,72,"low",36,22,58,0.241666666666667,0.26865671641791,0.207547169811321,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,-0.0769230769230769
"65","A11M4E3N6Q8918",13,73,"low",56,36,92,0.306666666666667,0.333333333333333,0.272727272727273,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,-0.0769230769230769
"66","A11M4E3N6Q8918",14,74,"low",69,47,116,0.29,0.308035714285714,0.267045454545455,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,-0.0915492957746479
"67","A11M4E3N6Q8918",15,75,"low",104,62,166,0.276666666666667,0.30952380952381,0.234848484848485,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,-0.0691244239631337
"68","A11M4E3N6Q8918",2,62,"low",41,10,51,0.6375,0.911111111111111,0.285714285714286,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,0.724137931034483
"69","A11M4E3N6Q8918",3,63,"low",36,10,46,0.534883720930233,0.75,0.263157894736842,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,0.4
"70","A11M4E3N6Q8918",4,64,"low",44,15,59,0.634408602150538,0.846153846153846,0.365853658536585,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,0.575757575757576
"71","A11M4E3N6Q8918",5,65,"low",54,10,64,0.64,0.964285714285714,0.227272727272727,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,0.888888888888889
"72","A11M4E3N6Q8918",6,66,"low",56,11,67,0.614678899082569,0.918032786885246,0.229166666666667,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,0.761904761904762
"73","A11M4E3N6Q8918",7,67,"low",61,8,69,0.575,0.91044776119403,0.150943396226415,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,0.764705882352941
"74","A11M4E3N6Q8918",8,68,"low",25,13,38,0.283582089552239,0.333333333333333,0.220338983050847,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,-0.0315789473684211
"75","A11M4E3N6Q8918",9,69,"low",26,21,47,0.313333333333333,0.30952380952381,0.318181818181818,2,1,50,2,1,3.8,4,6.8,5.2,3.8,3.6,3.41666666666667,3.61538461538461,309,714,1023,-0.12621359223301
"76","A11N2XYG9AGJ30",1,76,"low",45,23,68,0.85,1,0.657142857142857,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,1
"77","A11N2XYG9AGJ30",10,85,"low",59,18,77,0.450292397660819,0.614583333333333,0.24,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,0.212765957446809
"78","A11N2XYG9AGJ30",11,86,"low",45,19,64,0.32,0.401785714285714,0.215909090909091,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,0.0147058823529411
"79","A11N2XYG9AGJ30",12,87,"low",35,14,49,0.204166666666667,0.261194029850746,0.132075471698113,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,-0.0366492146596859
"80","A11N2XYG9AGJ30",13,88,"low",32,22,54,0.18,0.19047619047619,0.166666666666667,2,1,67,2,2,1.6,2.2,6,6.8,1.8,1.2,3.25,4.23076923076923,508,845,1353,-0.105691056910569
